case_text,administrative,criminal,civil,constitutional,family,commercial
Custody battle between Chen and Anjali in Bangkok family court.,0,0,0,0,1,0
Startup Novartis sues ex-employee John for leaking trade secrets. Government hiring procedure disputed by Anushka from Rome.,1,0,0,0,0,1
Custody battle between Monika and Ayesha in Mumbai family court.,0,0,0,0,1,0
Startup Walmart sues ex-employee Sukesh for leaking trade secrets.,0,0,0,0,0,1
Arpita files lawsuit against Jatin for breach of partnership terms.,0,0,0,0,0,1
Citizens in Rome protest changes in election laws. Mr. Jyotir challenges the new municipal tax regulation in Vishakhapatnam.,1,0,0,1,0,0
Shivam and Sukesh file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Property ownership between Anushree and Ayesha contested in Dubai court. Startup Disney sues ex-employee Gukesh for leaking trade secrets.,0,0,1,0,0,1
Tanmay files lawsuit against Chen for breach of partnership terms.,0,0,0,0,0,1
David sues Anjali over sudden rental agreement termination.,0,0,1,0,0,0
Citizens in Berlin protest changes in election laws. Government hiring procedure disputed by Anushree from Dehradun.,1,0,0,1,0,0
Government hiring procedure disputed by Sara from Brussels.,1,0,0,0,0,0
Sudhir and Piyush file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Petition filed by Jatin regarding violation of free speech rights. Government hiring procedure disputed by Titiksha from Berlin.,1,0,0,1,0,0
Startup Intel Corporation sues ex-employee Anjali for leaking trade secrets. Government hiring procedure disputed by Rakesh from Abu Dhabi.,1,0,0,0,0,1
Shubham and Titiksha file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Custody battle between Arpita and Amit in Brussels family court.,0,0,0,0,1,0
Chen sues Mahesh over sudden rental agreement termination.,0,0,1,0,0,0
Anjali sues Gukesh over sudden rental agreement termination.,0,0,1,0,0,0
Custody battle between Monika and Sukesh in Kashmir family court.,0,0,0,0,1,0
Citizens in Seoul protest changes in election laws.,0,0,0,1,0,0
Shubham and Anshika file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Jyotir files lawsuit against David for breach of partnership terms. Government hiring procedure disputed by Shouryan from Pune.,1,0,0,0,0,1
Mr. Sukesh challenges the new municipal tax regulation in Kerela.,1,0,0,0,0,0
Petition filed by Sukesh regarding violation of free speech rights.,0,0,0,1,0,0
Custody battle between Aditya and Mahesh in São Paulo family court.,0,0,0,0,1,0
Citizens in Berlin protest changes in election laws. Mr. Aaradhya challenges the new municipal tax regulation in Jakarta.,1,0,0,1,0,0
Mohit and Rohit file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Mahesh and Chen file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Custody battle between Shubham and Anjali in Manchester family court.,0,0,0,0,1,0
Petition filed by David regarding violation of free speech rights.,0,0,0,1,0,0
Startup Shell sues ex-employee Titiksha for leaking trade secrets.,0,0,0,0,0,1
Property ownership between Mukti and Himanshi contested in Berlin court. David files lawsuit against Chen for breach of partnership terms.,0,0,1,0,0,1
Startup Starbucks sues ex-employee Shubham for leaking trade secrets.,0,0,0,0,0,1
Police arrest Shubham in Chennai for organized financial fraud.,0,1,0,0,0,0
Fatima and Raj file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Mohit files lawsuit against Ayesha for breach of partnership terms. Mr. Chen challenges the new municipal tax regulation in Goa.,1,0,0,0,0,1
Police arrest Fatima in Barcelona for organized financial fraud.,0,1,0,0,0,0
Citizens in Istanbul protest changes in election laws.,0,0,0,1,0,0
Startup T-Mobile sues ex-employee Kartikey for leaking trade secrets.,0,0,0,0,0,1
Government hiring procedure disputed by Jyotir from Johannesburg.,1,0,0,0,0,0
Ramesh sues Ayesha over sudden rental agreement termination.,0,0,1,0,0,0
Fatima files lawsuit against Akshay for breach of partnership terms.,0,0,0,0,0,1
Custody battle between Monika and Sukesh in Osaka family court.,0,0,0,0,1,0
Custody battle between Sunita and Tanmay in Brisbane family court.,0,0,0,0,1,0
Police arrest Sara in Berlin for organized financial fraud.,0,1,0,0,0,0
Jatin is charged with theft at Moscow mall.,0,1,0,0,0,0
Petition filed by Aaradhya regarding violation of free speech rights. Government hiring procedure disputed by Sunita from Jammu.,1,0,0,1,0,0
Shouryan is charged with theft at Kuala Lumpur mall.,0,1,0,0,0,0
Sara sues Mahesh over sudden rental agreement termination.,0,0,1,0,0,0
Mr. Amit challenges the new municipal tax regulation in Dubai.,1,0,0,0,0,0
Startup Roche sues ex-employee Rakesh for leaking trade secrets. Mr. Tanmay challenges the new municipal tax regulation in Lima.,1,0,0,0,0,1
Piyush and Himanshi file for divorce citing irreconcilable differences.,0,0,0,0,1,0
Shivam is charged with theft at Buenos Aires mall.,0,1,0,0,0,0
Property ownership between Ramesh and Shouryan contested in Dehradun court. Mohit files lawsuit against Amit for breach of partnership terms.,0,0,1,0,0,1
Mr. Ramesh challenges the new municipal tax regulation in Shanghai.,1,0,0,0,0,0
Police arrest Mohit in Paris for organized financial fraud.,0,1,0,0,0,0
Police arrest Piyush in Manchester for organized financial fraud.,0,1,0,0,0,0
Piyush is charged with theft at London mall. Citizens in Melbourne protest changes in election laws.,0,1,0,1,0,0
