case_text,administrative,criminal,civil,constitutional,family,commercial
Government hiring procedure disputed by Kunal from Bangalore.,1,0,0,0,0,0
The inheritance claim of Jyotir contested by family members in Tokyo.,0,0,0,0,1,0
Airbnb is accused of violating antitrust laws in Melbourne.,0,0,0,0,0,1
The rights of tribal communities in São Paulo debated in the apex court. The transport authority in Barcelona faces complaints over revoked permits.,1,0,0,1,0,0
Akshay files lawsuit against John for breach of partnership terms. An appeal was filed by Aditya against a land acquisition order in Seoul.,1,0,0,0,0,1
Mr. Shubham challenges the new municipal tax regulation in Jakarta.,1,0,0,0,0,0
Monika sues Aaradhya over sudden rental agreement termination. Alimony disagreement leads to legal action from Arpita.,0,0,1,0,1,0
Anshika is charged with theft at Jammu mall.,0,1,0,0,0,0
Custody battle between Utkarsh and David in Jammu family court.,0,0,0,0,1,0
Dispute arises over land boundaries between Mahesh and Sukesh in São Paulo.,0,0,1,0,0,0
Loan settlement conflict between Sudhir and Aditya escalates to civil court. Alimony disagreement leads to legal action from Amit.,0,0,1,0,1,0
Investigation begins on the kidnapping case involving Mukti in Brussels.,0,1,0,0,0,0
Government hiring procedure disputed by Jatin from Brussels.,1,0,0,0,0,0
Supplier contract termination by McDonald's leads to litigation.,0,0,0,0,0,1
Allegations of bias in exam results published by the Delhi board are raised.,1,0,0,0,0,0
Police arrest Shubham in Kuala Lumpur for organized financial fraud.,0,1,0,0,0,0
Startup Wells Fargo sues ex-employee Anjali for leaking trade secrets. The transport authority in Rome faces complaints over revoked permits.,1,0,0,0,0,1
Citizens in Bangalore protest changes in election laws. The department’s decision on pension disbursement was contested by Aaradhya.,1,0,0,1,0,0
The inheritance claim of Titiksha contested by family members in Tokyo.,0,0,0,0,1,0
Police arrest Jyotir in Melbourne for organized financial fraud.,0,1,0,0,0,0
The transport authority in Rome faces complaints over revoked permits.,1,0,0,0,0,0
An FIR was lodged against Aman for illegal possession of firearms. Public interest litigation filed over religious freedom infringement.,0,1,0,1,0,0
Tesla is accused of violating antitrust laws in Delhi. Mr. Shubham challenges the new municipal tax regulation in Cairo.,1,0,0,0,0,1
The rights of tribal communities in Buenos Aires debated in the apex court.,0,0,0,1,0,0
Water damage liability case filed by Titiksha in Jammu.,0,0,1,0,0,0
The rights of tribal communities in Beijing debated in the apex court. An appeal was filed by Anushree against a land acquisition order in Chennai.,1,0,0,1,0,0
Citizens in Madrid protest changes in election laws.,0,0,0,1,0,0
Water damage liability case filed by Utkarsh in Amsterdam. Dispute between General Motors and General Motors regarding merger terms.,0,0,1,0,0,1
